date,gold_price,gold_volume,token_price,token_total_volume,token_market_cap,gold_forward_filled,token_log_price,gold_log_price,basis,abs_basis,premium_discount_pct,weekday,is_monday,gold_return,token_return,tracking_error,basis_change
2020-02-07,1570.1032655922,,1581.786865234375,1305750,,0,7.366310414367932,7.35889667044187,0.007413743926062644,0.007413743926062644,0.7441293765966619,Friday,0,,,,
2020-02-08,1570.1298497386,,1578.8697509765625,1609288,,0,7.364464522554728,7.358913601762204,0.005550920792524394,0.005550920792524394,0.5566355699445915,Saturday,0,1.6931320334201416e-05,-0.001845891813204048,0.0018628231335382495,-0.0018628231335382495
2020-02-09,1574.8031496063,,1578.7022705078125,575041,,0,7.364358440750248,7.361885559071583,0.0024728816786652175,0.0024728816786652175,0.24759417724604746,Sunday,0,0.0029719573093789364,-0.0001060818044802403,0.0030780391138591767,-0.0030780391138591767
2020-02-10,1572.0940440919,,1572.435546875,123025,,0,7.360381000055723,7.36016379568568,0.00021720437004280058,0.00021720437004280058,0.02172279606193695,Monday,1,-0.001721763385902797,-0.003977440694525214,0.002255677308622417,-0.002255677308622417
2020-02-11,1567.3399018257,,1563.4083251953125,340994,,0,7.354623540829818,7.357135131294476,-0.0025115904646577647,0.0025115904646577647,-0.2508439060224203,Tuesday,0,-0.0030286643912038613,-0.005757459225904427,0.0027287948347005653,-0.0027287948347005653
2020-02-12,1568.2877377248,,1565.3323974609375,171450,,0,7.355853474965456,7.3577396902771905,-0.001886215311734496,0.001886215311734496,-0.18844375255717125,Wednesday,0,0.0006045589827143871,0.0012299341356376559,0.0006253751529232687,0.0006253751529232687
2020-02-13,1576.9558221261,,1580.9013671875,17277,,0,7.365750448917696,7.363251572700065,0.0024988762176310075,0.0024988762176310075,0.25020010110876295,Thursday,0,0.005511882422874592,0.009896973952240096,0.0043850915293655035,0.0043850915293655035
2020-02-14,1584.3293695557,,1582.0643310546875,5237,,0,7.36648581188432,7.367916486084386,-0.001430674200066484,0.001430674200066484,-0.1429651273615937,Friday,0,0.004664913384321068,0.0007353629666235761,0.003929550417697492,-0.003929550417697492
2020-02-15,1584.3341043759,,1583.6197509765625,76684,,0,7.367468487354604,7.367919474612665,-0.00045098725806091977,0.00045098725806091977,-0.04508855785939131,Saturday,0,2.988528279068703e-06,0.000982675470284633,0.0009796869420055643,0.0009796869420055643
2020-02-16,1582.6916837465,,1589.98974609375,12367,,0,7.371482846195841,7.366882273853012,0.004600572342829068,0.004600572342829068,0.46111712231747953,Sunday,0,-0.0010372007596535227,0.004014358841236465,0.005051559600889988,0.005051559600889988
2020-02-17,1584.5098318835,,1590.1373291015625,10548,,0,7.371575661988687,7.368030384150222,0.003545277838465033,0.003545277838465033,0.35515697692914044,Monday,1,0.0011481102972101809,9.281579284614594e-05,0.001055294504364035,-0.001055294504364035
2020-02-18,1600.8791725451,,1602.939697265625,236567,,0,7.379594533227983,7.378308240158143,0.00128629306983985,0.00128629306983985,0.12871206995898749,Tuesday,0,0.01027785600792086,0.008018871239295677,0.002258984768625183,-0.002258984768625183
2020-02-19,1610.7212382248,,1611.93017578125,696504,,0,7.385187606856262,7.38443733172076,0.0007502751355019655,0.0007502751355019655,0.07505566622952696,Wednesday,0,0.006129091562617539,0.0055930736282796545,0.0005360179343378846,-0.0005360179343378846
2020-02-20,1621.6912898175,,1615.976318359375,250707,,0,7.387694584493078,7.391224889691296,-0.0035303051982182865,0.0035303051982182865,-0.3524080997418588,Thursday,0,0.0067875579705356515,0.0025069776368153995,0.004280580333720252,-0.004280580333720252
2020-02-21,1643.9249002389,,1644.4837646484375,2276523,,0,7.405181793064986,7.40484189345282,0.00033989961216551734,0.00033989961216551734,0.033995738458391586,Friday,0,0.013617003761524415,0.01748720857190822,0.003870204810383804,0.003870204810383804
2020-02-22,1644.1824713707,,1639.0880126953125,826465,,0,7.401895276323024,7.404998561774877,-0.0031032854518535657,0.0031032854518535657,-0.3098475238663934,Saturday,0,0.0001566683220568521,-0.003286516741962231,0.003443185064019083,-0.003443185064019083
2020-02-23,1666.2362223092,,1663.7578125,445667,,0,7.416834065415802,7.418322602777082,-0.0014885373612800734,0.0014885373612800734,-0.14874300390404602,Sunday,0,0.013324041002205078,0.01493878909277857,0.0016147480905734923,0.0016147480905734923
2020-02-24,1655.6964660171,,1654.301513671875,980460,,0,7.41113415260492,7.411977024676969,-0.0008428720720488059,0.0008428720720488059,-0.08425169551642674,Monday,1,-0.006345578100113158,-0.005699912810881891,0.0006456652892312675,0.0006456652892312675
2020-02-25,1638.2155316403,,1637.067626953125,973525,,0,7.400661888034713,7.401362837954822,-0.0007009499201089398,0.0007009499201089398,-0.07007043121033342,Tuesday,0,-0.010614186722147423,-0.010472264570207557,0.00014192215193986613,0.00014192215193986613
2020-02-26,1642.6619959308,,1647.01025390625,771693,,0,7.406716955966548,7.4040733731549215,0.002643582811626466,0.002643582811626466,0.26470801578300923,Wednesday,0,0.002710535200099784,0.00605506793183519,0.0033445327317354057,0.0033445327317354057
2020-02-27,1644.0861087444,,1641.4820556640625,192060,,0,7.40335480521212,7.404939951826219,-0.0015851466140990311,0.0015851466140990311,-0.15838909327725184,Thursday,0,0.0008665786712978019,-0.003362150754427695,0.004228729425725497,-0.004228729425725497
2020-02-28,1585.3234245968,,1579.69287109375,1151262,,0,7.3649857217420225,7.368543718868699,-0.003557997126676149,0.003557997126676149,-0.35516749552110677,Friday,0,-0.0363962329575207,-0.03836908347009782,0.001972850512577118,-0.001972850512577118
2020-02-29,1585.6152980164,,1577.8896484375,23717,,0,7.363843567678828,7.368727811622269,-0.004884243943441113,0.004884243943441113,-0.4872335419924816,Saturday,0,0.00018409275357011978,-0.0011421540631948446,0.0013262468167649644,-0.0013262468167649644
2020-03-01,1585.5398763279,,1585.67041015625,283093,,0,7.368762568591477,7.3686802442946755,8.232429680177233e-05,8.232429680177233e-05,0.008232768554037803,Sunday,0,-4.7567327593256437e-05,0.004919000912649629,0.004966568240242886,0.004966568240242886
2020-03-02,1592.2122253619,,1588.1905517578125,131475,,0,7.3703506294179855,7.372879664907816,-0.0025290354898306333,0.0025290354898306333,-0.2525840173833222,Monday,1,0.004199420613140603,0.0015880608265081975,0.0026113597866324056,-0.0026113597866324056
2020-03-03,1645.3263402887,,1643.876708984375,154581,,0,7.404812578268843,7.405694026678361,-0.000881448409518093,0.000881448409518093,-0.08810600479845868,Tuesday,0,0.0328143617705452,0.03446194885085774,0.0016475870803125403,0.0016475870803125403
2020-03-04,1636.5116384599,,1642.8939208984375,95236,,0,7.404214551679282,7.400322205715458,0.003892345963824262,0.003892345963824262,0.38999309803526616,Wednesday,0,-0.005371820962903229,-0.0005980265895608738,0.004773794373342355,0.004773794373342355
2020-03-05,1673.8718506118,,1667.5936279296875,327861,,0,7.419136924896971,7.422894695318508,-0.003757770421536577,0.003757770421536577,-0.3750718837775925,Thursday,0,0.022572489603049917,0.014922373217689078,0.007650116385360839,-0.007650116385360839
2020-03-06,1674.4167603268,,1671.6956787109375,1201058,,0,7.421593766738407,7.423220180832529,-0.0016264140941224525,0.0016264140941224525,-0.16250921994661302,Friday,0,0.0003254855140211177,0.002456841841435242,0.0021313563274141245,0.0021313563274141245
2020-03-07,1674.7753707534,,1675.0655517578125,463536,,0,7.423607578871197,7.423434328253122,0.00017325061807493825,0.00017325061807493825,0.017326562682967464,Saturday,0,0.0002141474205927807,0.0020138121327901715,0.0017996647121973908,0.0017996647121973908
2020-03-08,1700.260990062,,1711.135009765625,3721048,,0,7.444912177714111,7.438537041826653,0.006375135887457972,0.006375135887457972,0.6395500318588418,Sunday,0,0.015102713573531545,0.02130459884291458,0.006201885269383034,0.006201885269383034
2020-03-09,1666.6259260329,,1673.2069091796875,1633873,,0,7.422497368880393,7.418556458069099,0.003940910811293996,0.003940910811293996,0.39486864112646664,Monday,1,-0.019980583757554626,-0.022414808833718602,0.002434225076163976,-0.002434225076163976
2020-03-10,1652.581137271,,1651.578125,845953,,0,7.4094865491918425,7.410093670230626,-0.0006071210387839088,0.0006071210387839088,-0.060693677809751545,Tuesday,0,-0.00846278783847243,-0.013010819688550335,0.004548031850077905,-0.004548031850077905
2020-03-11,1642.7993030081,,1632.7611083984375,859541,,0,7.398027792249708,7.404156957811617,-0.006129165561908678,0.006129165561908678,-0.6110420543326086,Wednesday,0,-0.005936712419009282,-0.011458756942134052,0.0055220445231247695,-0.0055220445231247695
2020-03-12,1576.5749245493,,1632.6500244140625,25149343,,0,7.397959755497276,7.363010003735467,0.03494975176180848,0.03494975176180848,3.5567672041208462,Thursday,0,-0.04114695407614999,-6.80367524328318e-05,0.04107891732371716,0.04107891732371716
2020-03-13,1529.2625863213,,1525.7442626953125,9019585,,0,7.330237611099863,7.3325409284770995,-0.00230331737723688,0.00230331737723688,-0.23006667772151154,Friday,0,-0.030469075258367617,-0.06772214439741298,0.03725306913904536,-0.03725306913904536
2020-03-14,1529.1688967046,,1590.165283203125,8732370,,0,7.371593241511753,7.332479662029086,0.039113579482666694,0.039113579482666694,3.988858695071149,Saturday,0,-6.126644801351944e-05,0.041355630411890054,0.041416896859903574,0.041416896859903574
2020-03-15,1557.9600071666,,1570.36962890625,4319257,,0,7.359066303056853,7.351132556760152,0.007933746296700406,0.007933746296700406,0.7965301857920524,Sunday,0,0.01865289473106646,-0.012526938454899827,0.031179833185966288,-0.031179833185966288
2020-03-16,1507.20888698,,1506.3104248046875,4387751,,0,7.317418512487242,7.318014800155565,-0.0005962876683227591,0.0005962876683227591,-0.05961099241610367,Monday,1,-0.03311775660458771,-0.041647790569610876,0.008530033965023165,-0.008530033965023165
