date,paxg_price,paxg_total_volume,paxg_market_cap,gold_price,gold_volume,paxg_log_price,gold_log_price,basis,abs_basis,premium_discount_pct,weekday,is_monday,gold_return,paxg_return,tracking_error,basis_change
2025-07-07,3334.492145245455,22474319.42433487,931576792.5271704,3332.199951171875,254,8.112075666467684,8.111388010841548,0.0006876556261357081,0.0006876556261357081,0.06878921154698191,Monday,1,,,,
2025-07-08,3336.897322382628,53216020.69263611,933617619.7271073,3307.0,909,8.112796708839156,8.103796712981794,0.008999995857362109,0.008999995857362109,0.9040617593779214,Tuesday,0,-0.00759129785975432,0.0007210423714720804,0.0083123402312264,0.0083123402312264
2025-07-09,3308.4895831689787,54865303.46634457,925560689.948134,3311.60009765625,114,8.104247044941484,8.105186764753794,-0.0009397198123100026,0.0009397198123100026,-0.09392784139222415,Wednesday,0,0.0013900517720006889,-0.008549663897671422,0.009939715669672111,-0.009939715669672111
2025-07-10,3320.168555312299,69303484.21187916,930220931.7217741,3317.39990234375,209,8.107770830294177,8.106936593134355,0.0008342371598217824,0.0008342371598217824,0.08345852324263922,Thursday,0,0.001749828380560814,0.003523785352692599,0.001773956972131785,0.001773956972131785
2025-07-11,3323.5517133530498,64439245.24824251,931252147.153194,3356.0,776,8.108789283268225,8.118505067587098,-0.009715784318872878,0.009715784318872878,-0.9668738571796852,Friday,0,0.01156847445274245,0.00101845297404779,0.01055002147869466,-0.01055002147869466
2025-07-14,3355.9890427271716,42874229.61595196,940271155.0794516,3351.5,583,8.118501802601783,8.117163285798012,0.0013385168037700623,0.0013385168037700623,0.13394130172077087,Monday,1,-0.0013417817890850614,0.009712519333557879,0.01105430112264294,0.01105430112264294
2025-07-15,3350.133381062237,138984160.48004746,938612083.1433977,3329.800048828125,210,8.116755439268966,8.110667535774732,0.00608790349423316,0.00608790349423316,0.6106472441571332,Tuesday,0,-0.006495750023280067,-0.0017463633328169692,0.004749386690463098,0.004749386690463098
2025-07-16,3338.0043954799567,99803495.9725478,935191062.5037367,3352.5,10,8.11312842102138,8.117461615155834,-0.004333194134455098,0.004333194134455098,-0.4323819394494659,Wednesday,0,0.006794079381101881,-0.0036270182475863777,0.010421097628688258,-0.010421097628688258
2025-07-17,3352.3171936783133,82752963.21492939,940522394.3571656,3340.10009765625,667,8.117407085310663,8.113756054879833,0.003651030430830815,0.003651030430830815,0.3657703561230405,Thursday,0,-0.0037055602760016626,0.004278664289284251,0.007984224565285913,0.007984224565285913
2025-07-18,3343.1135880018705,93350803.55283861,939503144.9768881,3353.0,602,8.114657863707617,8.117610746466228,-0.002952882758611608,0.002952882758611608,-0.29485272884370595,Friday,0,0.003854691586395731,-0.002749221603046692,0.006603913189442423,-0.006603913189442423
2025-07-21,3353.096193922796,28203903.263014022,944792360.1651534,3401.89990234375,53,8.117639434966966,8.132089349343557,-0.014449914376591266,0.014449914376591266,-1.434601540960409,Monday,1,0.014478602877328939,0.0029815712593492805,0.011497031617979658,-0.011497031617979658
2025-07-22,3396.9845007201834,80291449.41390091,957152554.2659293,3439.199951171875,39,8.130643405512608,8.142994150984547,-0.012350745471939817,0.012350745471939817,-1.2274788046943033,Tuesday,0,0.010904801640990058,0.013003970545641508,0.0020991689046514495,0.0020991689046514495
2025-07-23,3426.4444811824737,66322791.31562144,965416490.6176771,3394.10009765625,63,8.139278408116988,8.129793937892053,0.009484470224935038,0.009484470224935038,0.9529590346660286,Wednesday,0,-0.013200213092494195,0.00863500260438066,0.021835215696874855,0.021835215696874855
2025-07-24,3395.937430520797,64125177.5422095,956689708.0832206,3371.0,1175,8.130335122797664,8.12296471523406,0.0073704075636040756,0.0073704075636040756,0.7397635870897976,Thursday,0,-0.006829222657993128,-0.00894328531932409,0.002114062661330962,-0.002114062661330962
2025-07-25,3376.4098017371603,69183153.40063304,951348980.6590161,3334.0,67,8.124568235119556,8.111928063310739,0.012640171808817158,0.012640171808817158,1.2720396441859703,Friday,0,-0.011036651923321372,-0.00576688767810829,0.005269764245213082,0.005269764245213082
2025-07-28,3346.7607001334422,38292902.689820714,942942485.7713908,3309.10009765625,533,8.115748201832314,8.104431557586858,0.011316644245455976,0.011316644245455976,1.138091969592164,Monday,1,-0.007496505723880276,-0.008820033287241458,0.001323527563361182,-0.001323527563361182
2025-07-29,3321.168850639034,116951679.44747332,937143077.6281786,3323.39990234375,113144,8.108072063396234,8.108743604882672,-0.0006715414864384428,0.0006715414864384428,-0.06713160529199068,Tuesday,0,0.0043120472958140255,-0.007676138436080393,0.011988185731894418,-0.011988185731894418
2025-07-30,3334.4472632049738,56699258.78439108,942078225.6332905,3295.800048828125,19252,8.112062206444213,8.100404224391887,0.011657982052325266,0.011657982052325266,1.1726201166417967,Wednesday,0,-0.008339380490784976,0.003990143047978734,0.01232952353876371,0.01232952353876371
2025-07-31,3297.545386105817,96326745.53032014,931766145.4146012,3293.199951171875,3704,8.100933648289264,8.099615000597316,0.001318647691947561,0.001318647691947561,0.13195174900922446,Thursday,0,-0.0007892237945714697,-0.011128558154949175,0.010339334360377705,-0.010339334360377705
2025-08-01,3295.4268305779306,89816808.46713321,932739706.602296,3347.699951171875,3420,8.100290977417561,8.11602880727419,-0.015737829856629304,0.015737829856629304,-1.5614637320063895,Friday,0,0.016413806676874643,-0.0006426708717022223,0.017056477548576865,-0.017056477548576865
2025-08-04,3362.1294756485527,37488237.468038216,952413919.602797,3374.39990234375,351,8.120329824722715,8.123972780784179,-0.00364295606146392,0.00364295606146392,-0.3636328547388436,Monday,1,0.007943973509988211,0.020038847305153595,0.012094873795165384,0.012094873795165384
2025-08-05,3379.0232924737634,70891735.92684813,957638749.5440916,3381.89990234375,915,8.125341979994397,8.126192931842445,-0.0008509518480472877,0.0008509518480472877,-0.08505898912008168,Tuesday,0,0.0022201510582657846,0.005012155271682417,0.0027920042134166323,0.0027920042134166323
2025-08-06,3384.220459152731,63675091.4616681,960408527.4107562,3380.0,1492,8.12687886610787,8.125630988477065,0.0012478776308046946,0.0012478776308046946,0.12486565540624583,Wednesday,0,-0.0005619433653798467,0.0015368861134721357,0.0020988294788519823,0.0020988294788519823
2025-08-07,3371.6175116064837,55489389.264405884,956743227.6562748,3400.300048828125,5464,8.123147881966313,8.131618956365811,-0.008471074399498235,0.008471074399498235,-0.8435295947346289,Thursday,0,0.005987967888746226,-0.0037309841415567035,0.00971895203030293,-0.00971895203030293
