asset,scenario,beta,std_error_hac,t_stat_hac,p_value_approx,r_squared,n_obs,directional_accuracy
PAXG,baseline,0.3751582695208281,0.1078937751417237,3.4771076369145435,0.0005068542952803,0.2778634649509633,94,0.6170212765957447
PAXG,exclude_delayed_reopen_gt_2h,0.3773269576877089,0.108800656944516,3.4680577147629763,0.0005242346859904,0.2935060693195764,90,0.6111111111111112
XAUT,baseline,0.7413785827606589,0.1126382000843374,6.581946286477895,4.6432934841939675e-11,0.4271487910616633,93,0.6021505376344086
XAUT,exclude_delayed_reopen_gt_2h,0.7468835666000933,0.112101218961656,6.662582026477009,2.690580577552803e-11,0.4499622743943914,89,0.5955056179775281
