asset,benchmark,hypothesis,metric,value
XAUT,futures,H2,token_gg_share_ci_lower,-0.05683718898494332
XAUT,futures,H2,token_gg_share_ci_upper,0.8644020988206753
XAUT,futures,H2,token_gg_bootstrap_reps,1000
XAUT,futures,H2,token_gg_share_ci_excludes_0_5,False
XAUT,futures,H2,token_majority_price_discovery_share,False
XAUT,futures,H2,residual_diagnostic_lags,5
XAUT,futures,H2,token_resid_durbin_watson,1.996313752549001
XAUT,futures,H2,gold_resid_durbin_watson,1.9972676795339515
XAUT,futures,H2,token_resid_ljung_box_q,2.7641589132713964
XAUT,futures,H2,token_resid_ljung_box_p,0.7362894791663752
XAUT,futures,H2,gold_resid_ljung_box_q,5.186406381209719
XAUT,futures,H2,gold_resid_ljung_box_p,0.39355725416650367
XAUT,futures,H2,vecm_residual_cross_correlation,0.8909896405895165
