asset,monday_date,reopen_delay_hours,reopen_benchmark_ts,weekend_token_return_pre_reopen,benchmark_reopen_gap_return
PAXG,2025-07-14,6.0,2025-07-14 04:00:00,-0.0008241497475864,0.0021380074731851
PAXG,2025-09-22,6.0,2025-09-22 04:00:00,0.0007498306881217,0.0024705155724777
PAXG,2025-10-06,6.0,2025-10-06 04:00:00,0.0022028272562177,0.0107798317966718
PAXG,2026-01-19,5.0,2026-01-19 04:00:00,0.0070752588355667,0.0017642087873053
XAUT,2025-07-14,6.0,2025-07-14 04:00:00,-0.0017557058647579,0.0021380074731851
XAUT,2025-09-22,6.0,2025-09-22 04:00:00,0.0010488511591031,0.0024705155724777
XAUT,2025-10-06,6.0,2025-10-06 04:00:00,0.0018507310022606,0.0107798317966718
XAUT,2026-01-19,5.0,2026-01-19 04:00:00,0.005182049648635,0.0017642087873053
