timestamp,open,high,low,close,volume
2024-08-15 00:00:00+00:00,2455.822509765625,2457.8154296875,2455.2724609375,2457.6787109375,0.0
2024-08-15 01:00:00+00:00,2457.50927734375,2460.90966796875,2455.797607421875,2460.90966796875,42516.0
2024-08-15 02:00:00+00:00,2460.58837890625,2461.482177734375,2458.0771484375,2458.138916015625,0.0
2024-08-15 03:00:00+00:00,2457.72265625,2458.88623046875,2457.51806640625,2458.75048828125,0.0
2024-08-15 04:00:00+00:00,2459.538330078125,2462.263671875,2459.538330078125,2460.250244140625,0.0
2024-08-15 05:00:00+00:00,2460.286376953125,2460.361083984375,2459.023681640625,2459.790283203125,0.0
2024-08-15 06:00:00+00:00,2458.36767578125,2466.1962890625,2458.36767578125,2462.456787109375,0.0
2024-08-15 07:00:00+00:00,2462.718505859375,2464.964599609375,2461.257080078125,2461.778564453125,12450.0
2024-08-15 08:00:00+00:00,2462.20458984375,2463.498779296875,2462.20458984375,2462.2939453125,17767.0
2024-08-15 09:00:00+00:00,2462.522216796875,2462.91015625,2461.26513671875,2461.759521484375,0.0
2024-08-15 10:00:00+00:00,2462.84130859375,2464.407470703125,2460.79736328125,2462.61572265625,0.0
2024-08-15 11:00:00+00:00,2462.64794921875,2464.376708984375,2462.144775390625,2463.40283203125,186481.0
2024-08-15 12:00:00+00:00,2464.01220703125,2468.060791015625,2452.259521484375,2452.259521484375,171961.0
2024-08-15 13:00:00+00:00,2447.1572265625,2452.19091796875,2440.97412109375,2443.3623046875,0.0
2024-08-15 14:00:00+00:00,2447.793701171875,2459.295166015625,2447.793701171875,2458.298095703125,0.0
2024-08-15 15:00:00+00:00,2455.079345703125,2459.85986328125,2455.079345703125,2459.85986328125,0.0
2024-08-15 16:00:00+00:00,2460.18798828125,2461.509765625,2458.277099609375,2458.277099609375,0.0
2024-08-15 17:00:00+00:00,2458.427490234375,2458.43115234375,2456.55859375,2458.00390625,0.0
2024-08-15 18:00:00+00:00,2458.594482421875,2460.68115234375,2457.868408203125,2460.68115234375,35884.0
2024-08-15 19:00:00+00:00,2459.056396484375,2463.635009765625,2459.056396484375,2459.3564453125,323152.0
2024-08-15 20:00:00+00:00,2459.624755859375,2460.289306640625,2458.169677734375,2460.289306640625,487646.0
2024-08-15 21:00:00+00:00,2460.756591796875,2460.756591796875,2459.16064453125,2459.482421875,166792.0
2024-08-15 22:00:00+00:00,2459.947509765625,2459.947509765625,2456.947509765625,2457.77783203125,0.0
2024-08-15 23:00:00+00:00,2458.38330078125,2459.83544921875,2458.10546875,2459.615234375,41160.0
2024-08-16 00:00:00+00:00,2459.335205078125,2462.62939453125,2459.3056640625,2461.377197265625,18660.0
2024-08-16 01:00:00+00:00,2461.67236328125,2461.984130859375,2459.6396484375,2459.6396484375,0.0
2024-08-16 02:00:00+00:00,2460.172607421875,2460.29150390625,2458.4208984375,2459.42529296875,1244.0
2024-08-16 03:00:00+00:00,2458.848876953125,2459.64599609375,2455.7138671875,2455.7138671875,34272.0
2024-08-16 04:00:00+00:00,2456.068115234375,2461.345458984375,2455.842529296875,2460.3154296875,41073.0
2024-08-16 05:00:00+00:00,2459.136962890625,2463.765625,2458.205078125,2463.53564453125,161152.0
2024-08-16 06:00:00+00:00,2463.275146484375,2464.124267578125,2458.843505859375,2458.843505859375,2374.0
2024-08-16 07:00:00+00:00,2459.84130859375,2465.98828125,2459.7626953125,2465.98828125,15984.0
2024-08-16 08:00:00+00:00,2465.683837890625,2465.683837890625,2463.144287109375,2465.42822265625,162386.0
2024-08-16 09:00:00+00:00,2464.728759765625,2466.5869140625,2464.503173828125,2466.5869140625,41374.0
2024-08-16 10:00:00+00:00,2466.39013671875,2468.654541015625,2465.6845703125,2466.728271484375,0.0
2024-08-16 11:00:00+00:00,2467.639892578125,2472.25146484375,2467.639892578125,2472.1982421875,0.0
2024-08-16 12:00:00+00:00,2473.142822265625,2485.218017578125,2473.142822265625,2485.218017578125,0.0
2024-08-16 13:00:00+00:00,2492.035888671875,2498.674072265625,2485.648193359375,2498.02685546875,235819.0
2024-08-16 14:00:00+00:00,2494.296630859375,2494.296630859375,2482.751220703125,2487.319091796875,0.0
2024-08-16 15:00:00+00:00,2486.59033203125,2490.03466796875,2486.546630859375,2489.4375,0.0
2024-08-16 16:00:00+00:00,2490.99462890625,2496.6708984375,2490.99462890625,2496.5107421875,176595.0
2024-08-16 17:00:00+00:00,2497.657958984375,2498.6484375,2494.5927734375,2498.6484375,71412.0
2024-08-16 18:00:00+00:00,2498.88525390625,2504.382568359375,2498.88525390625,2503.545654296875,0.0
2024-08-16 19:00:00+00:00,2503.336669921875,2507.3291015625,2503.336669921875,2507.3291015625,0.0
2024-08-16 20:00:00+00:00,2508.77294921875,2509.27587890625,2507.736328125,2509.27587890625,0.0
2024-08-16 21:00:00+00:00,2508.78076171875,2509.232666015625,2507.35888671875,2507.35888671875,0.0
2024-08-16 22:00:00+00:00,2507.9111328125,2508.755859375,2507.341796875,2507.341796875,0.0
2024-08-16 23:00:00+00:00,2507.688720703125,2509.817626953125,2507.347900390625,2507.79345703125,0.0
2024-08-17 00:00:00+00:00,2507.835693359375,2509.39306640625,2507.714599609375,2509.39306640625,0.0
2024-08-17 01:00:00+00:00,2509.86962890625,2509.978759765625,2507.874267578125,2508.4462890625,0.0
2024-08-17 02:00:00+00:00,2508.025390625,2509.8720703125,2508.025390625,2509.42333984375,0.0
2024-08-17 03:00:00+00:00,2509.15625,2509.600341796875,2508.153564453125,2508.347900390625,0.0
2024-08-17 04:00:00+00:00,2508.987548828125,2510.09326171875,2508.37451171875,2509.85693359375,0.0
2024-08-17 05:00:00+00:00,2509.172119140625,2510.485107421875,2507.88671875,2508.357666015625,0.0
2024-08-17 06:00:00+00:00,2507.775634765625,2514.145751953125,2507.775634765625,2514.145751953125,0.0
2024-08-17 07:00:00+00:00,2511.2109375,2511.2109375,2508.063232421875,2509.07080078125,52162.0
2024-08-17 08:00:00+00:00,2509.54833984375,2511.3525390625,2509.104248046875,2510.021240234375,0.0
2024-08-17 09:00:00+00:00,2510.199951171875,2511.58642578125,2509.687255859375,2511.044677734375,0.0
2024-08-17 10:00:00+00:00,2510.996826171875,2511.889892578125,2509.637939453125,2510.99951171875,50344.0
